record_id,campaign_id,campaign_name,audience_segment,region,customer_type,treatment_group,reach_pct,frequency,impressions,spend_cad,brand_awareness,purchase_intent,website_visit,store_visit,conversion
1,NSB-02,Summer Value,18-24,Quebec,New,Treatment,63.4,1.63,113,12.27,0.4853,0.2271,0,0,0
2,NSB-04,Family Meals,18-24,Alberta,Existing,Treatment,50.3,1.87,99,25.54,0.4238,0.2324,0,1,0
3,NSB-03,Late Night,35-44,Ontario,New,Control,91.0,1.99,224,76.91,0.4654,0.249,0,0,0
4,NSB-03,Late Night,45-54,Manitoba,Existing,Control,60.6,3.13,224,37.37,0.4698,0.1882,0,0,0
5,NSB-01,Spring Launch,25-34,Alberta,Existing,Control,80.0,3.64,368,95.71,0.383,0.2587,0,0,0
6,NSB-01,Spring Launch,18-24,British Columbia,New,Treatment,88.2,2.52,284,43.73,0.4484,0.2972,0,0,0
7,NSB-01,Spring Launch,25-34,Ontario,New,Treatment,84.4,3.5,366,57.82,0.5178,0.3321,0,1,0
8,NSB-04,Family Meals,25-34,British Columbia,New,Treatment,75.1,4.38,419,91.78,0.5104,0.2579,1,0,0
9,NSB-03,Late Night,25-34,Alberta,Existing,Control,91.2,3.14,342,122.6,0.4235,0.3026,0,0,0
10,NSB-03,Late Night,18-24,Alberta,Existing,Treatment,70.4,1.97,169,41.82,0.4422,0.2847,0,0,0
11,NSB-01,Spring Launch,45-54,Quebec,New,Control,80.1,1.35,122,25.29,0.4133,0.2652,0,0,0
12,NSB-04,Family Meals,25-34,Alberta,Existing,Treatment,68.2,2.12,156,11.86,0.5298,0.342,0,0,0
13,NSB-04,Family Meals,35-44,British Columbia,New,Control,52.2,1.64,131,33.63,0.406,0.2312,0,0,0
14,NSB-01,Spring Launch,18-24,British Columbia,New,Control,67.8,1.14,80,34.1,0.4154,0.2793,0,0,0
15,NSB-01,Spring Launch,18-24,Ontario,New,Control,43.5,2.47,138,35.7,0.4211,0.29,0,0,0
16,NSB-01,Spring Launch,35-44,Manitoba,Existing,Treatment,66.6,3.36,257,70.46,0.463,0.2804,0,0,0
17,NSB-02,Summer Value,45-54,Alberta,Existing,Treatment,59.4,4.95,389,81.35,0.4089,0.2672,0,0,0
18,NSB-02,Summer Value,35-44,Manitoba,Existing,Control,78.3,5.74,547,162.06,0.4302,0.2378,0,0,0
19,NSB-02,Summer Value,45-54,British Columbia,New,Treatment,85.3,3.83,377,123.61,0.4726,0.2244,0,1,0
20,NSB-02,Summer Value,45-54,Alberta,Existing,Control,48.9,3.18,187,35.01,0.3866,0.2213,0,0,0
21,NSB-03,Late Night,18-24,Alberta,New,Treatment,71.0,1.0,87,22.93,0.4726,0.2862,0,0,0
22,NSB-01,Spring Launch,25-34,Manitoba,New,Control,71.2,2.6,259,74.97,0.3649,0.2626,0,0,0
23,NSB-02,Summer Value,35-44,British Columbia,New,Treatment,84.9,3.14,328,93.11,0.4887,0.27,0,0,0
24,NSB-02,Summer Value,25-34,British Columbia,Existing,Treatment,78.5,4.09,345,98.18,0.5088,0.2855,0,0,0
25,NSB-02,Summer Value,25-34,Ontario,New,Control,81.8,1.99,175,55.96,0.4562,0.2635,0,0,0
26,NSB-04,Family Meals,25-34,Manitoba,Existing,Control,70.9,3.06,242,39.51,0.4095,0.2202,0,1,0
27,NSB-01,Spring Launch,25-34,Alberta,New,Control,46.8,1.35,91,25.38,0.4023,0.2267,0,0,0
28,NSB-02,Summer Value,45-54,British Columbia,Existing,Treatment,54.2,2.17,114,44.86,0.3632,0.2169,0,0,0
29,NSB-03,Late Night,18-24,Ontario,New,Control,71.5,2.76,259,60.31,0.4415,0.2315,0,0,0
30,NSB-01,Spring Launch,25-34,Alberta,Existing,Control,46.1,3.75,234,79.24,0.4565,0.2112,0,0,0
31,NSB-03,Late Night,35-44,British Columbia,Existing,Treatment,57.4,4.23,297,59.79,0.4939,0.3239,0,0,0
32,NSB-01,Spring Launch,35-44,Ontario,Existing,Treatment,59.6,1.0,82,14.49,0.5288,0.2765,1,0,0
33,NSB-01,Spring Launch,35-44,Quebec,Existing,Treatment,63.5,6.23,471,107.1,0.4905,0.2993,0,0,1
34,NSB-04,Family Meals,45-54,British Columbia,New,Treatment,70.8,2.78,253,77.91,0.4227,0.2329,0,0,0
35,NSB-04,Family Meals,35-44,Quebec,Existing,Treatment,69.8,4.24,349,115.66,0.5142,0.3273,0,0,0
36,NSB-04,Family Meals,35-44,Alberta,New,Control,74.2,1.27,143,30.96,0.4661,0.2162,0,0,0
37,NSB-02,Summer Value,25-34,Ontario,New,Control,51.1,1.0,30,8.0,0.4549,0.2403,1,0,0
38,NSB-01,Spring Launch,25-34,British Columbia,New,Treatment,59.1,4.53,323,71.09,0.4809,0.3,0,1,0
